conid,symbol,strike,maturityDate
733172883,AAPL,220.0,20241122
734452809,AAPL,220.0,20241129
739480710,AAPL,222.5,20241122
740950685,AAPL,222.5,20241129
733172961,AAPL,225.0,20241122
734452869,AAPL,225.0,20241129
739480752,AAPL,227.5,20241122
740950728,AAPL,227.5,20241129
733173027,AAPL,230.0,20241122
734452939,AAPL,230.0,20241129
739480820,AAPL,232.5,20241122
740950784,AAPL,232.5,20241129
733173073,AAPL,235.0,20241122
734452998,AAPL,235.0,20241129
739480883,AAPL,237.5,20241122
740950849,AAPL,237.5,20241129
