Date,Close,High,Low,Open,Volume,SMA_20,EMA_20,SMA_50,EMA_50,SMA_200,EMA_200,SwingBuy_Signal,SwingSell_Signal,EMA_12,EMA_26,MACD,Signal_Line,Buy_Signal_MACD,Sell_Signal_MACD,Combined_Buy_Signal,Combined_Sell_Signal,RSI,RSI_Signal
2022-01-03,36585.05859375,36595.8203125,36246.44921875,36321.58984375,347930000,,36585.05859375,,36585.05859375,,36585.05859375,False,False,36585.05859375,36585.05859375,0.0,0.0,False,False,False,False,,False
2022-01-04,36799.6484375,36934.83984375,36636.0,36636.0,435080000,,36605.49572172619,,36593.473881740196,,36587.19381607587,False,False,36618.07241586538,36600.954137731474,17.11827813390846,3.4236556267816924,True,False,False,False,,False
2022-01-05,36407.109375,36952.6484375,36400.390625,36722.6015625,462040000,,36586.601783942744,,36586.165469711166,,36585.40193109004,False,False,36585.616563424555,36586.59526641803,-0.978702993474144,2.5431839027305254,False,True,False,False,,False
2022-01-06,36236.46875,36464.19140625,36200.6796875,36409.05078125,385890000,,36553.255780710104,,36572.45187285975,,36581.9299591389,False,False,36531.90151520539,36560.65996890559,-28.758453700196696,-3.7171436178549198,False,True,False,False,,False
2022-01-07,36231.66015625,36382.83984375,36111.53125,36249.58984375,356110000,,36522.627625999616,,36559.08749181622,,36578.44468746836,False,False,36485.71053690456,36536.28961241258,-50.5790755080161,-13.089529995887158,False,True,False,False,,False
2022-01-10,36068.87109375,36175.2109375,35639.91015625,36175.2109375,430680000,,36479.41271816632,,36539.86331934304,,36573.37430345127,False,False,36421.58139180386,36501.666018437565,-80.08462663370301,-26.48854932345033,False,True,False,False,,False
2022-01-11,36252.01953125,36271.46875,35769.37890625,36058.8515625,356850000,,36457.756224174285,,36528.57532765312,,36570.17674352887,False,False,36395.494951718654,36483.1736860533,-87.6787343346441,-38.726586325689084,False,True,False,False,,False
2022-01-12,36290.3203125,36453.48828125,36168.1484375,36336.16015625,310180000,,36441.809946871974,,36519.231993725545,,36567.39210242411,False,False,36379.31423799271,36468.88825097527,-89.57401298256445,-48.89607165706416,False,True,False,False,,False
2022-01-13,36113.62109375,36513.87890625,36044.21875,36312.48828125,343640000,,36410.55386562226,,36503.32568392259,,36562.87696800944,False,False,36338.43836964767,36442.57216525488,-104.13379560720932,-59.9436164470932,False,True,False,False,,False
2022-01-14,35911.80859375,35996.4296875,35641.48828125,35996.4296875,389200000,,36363.05431592014,,36480.12893528837,,36556.398675728255,False,False,36272.80301950957,36403.25634514341,-130.45332563384,-74.04555828444256,False,True,False,False,,False
