conid,date,open,high,low,close,volume
560066464,20250203 09:30:00 US/Eastern,29.58,30.96,29.27,30.87,9582.35
560066464,20250203 09:45:00 US/Eastern,30.86,30.87,30.34,30.67,7429.41
560066464,20250203 10:00:00 US/Eastern,30.64,30.76,30.37,30.6,2947.62
560066464,20250203 10:15:00 US/Eastern,30.59,31.76,30.46,31.62,6755.31
560066464,20250203 10:30:00 US/Eastern,31.61,31.68,31.24,31.44,4490.34
560066464,20250203 10:45:00 US/Eastern,31.41,31.5,31.22,31.37,2468.09
560066464,20250203 11:00:00 US/Eastern,31.36,31.49,31.08,31.38,2597.89
560066464,20250203 11:15:00 US/Eastern,31.42,31.63,31.35,31.53,1664.47
560066464,20250203 11:30:00 US/Eastern,31.53,31.63,31.36,31.43,1273.72
560066464,20250203 11:45:00 US/Eastern,31.43,31.44,31.09,31.12,1773.39
560066464,20250203 12:00:00 US/Eastern,31.12,31.19,31.01,31.15,1419.63
560066464,20250203 12:15:00 US/Eastern,31.14,31.29,31.03,31.19,942.28
560066464,20250203 12:30:00 US/Eastern,31.17,31.19,31.01,31.08,630.04
560066464,20250203 12:45:00 US/Eastern,31.09,31.19,30.57,30.83,3361.16
560066464,20250203 13:00:00 US/Eastern,30.82,31.06,30.61,30.97,2464.69
560066464,20250203 13:15:00 US/Eastern,30.98,31.04,30.8,30.82,855.78
560066464,20250203 13:30:00 US/Eastern,30.84,30.9,30.71,30.73,778.5
560066464,20250203 13:45:00 US/Eastern,30.72,30.84,30.7,30.74,670.23
560066464,20250203 14:00:00 US/Eastern,30.73,30.83,30.69,30.83,640.7
560066464,20250203 14:15:00 US/Eastern,30.84,30.92,30.79,30.87,507.69
560066464,20250203 14:30:00 US/Eastern,30.85,30.88,30.78,30.83,1000.59
560066464,20250203 14:45:00 US/Eastern,30.82,30.84,30.67,30.72,1058.24
560066464,20250203 15:00:00 US/Eastern,30.71,30.78,30.67,30.71,1205.73
560066464,20250203 15:15:00 US/Eastern,30.72,30.75,30.62,30.64,728.16
560066464,20250203 15:30:00 US/Eastern,30.65,30.74,30.61,30.72,731.29
560066464,20250203 15:45:00 US/Eastern,30.74,30.78,30.65,30.73,1953.91
560066464,20250204 09:30:00 US/Eastern,32.49,32.57,32.14,32.43,5889.74
560066464,20250204 09:45:00 US/Eastern,32.4,32.73,32.3,32.62,5054.37
560066464,20250204 10:00:00 US/Eastern,32.61,32.8,32.39,32.71,4721.03
560066464,20250204 10:15:00 US/Eastern,32.72,33.12,32.68,33.12,3704.27
