,conId,symbol,secType,expiration,strike,right,exchange,currency,tradingClass
0,753981726,ES,FOP,20250218,6000.0,P,CME,USD,E3B
1,753981921,ES,FOP,20250218,6000.0,C,CME,USD,E3B
2,761712136,ES,EC,20250218,6000.0,C,CME,USD,ECES
3,761712141,ES,EC,20250218,6000.0,P,CME,USD,ECES
4,760508308,ES,FOP,20250218,6005.0,P,CME,USD,E3B
5,760508799,ES,FOP,20250218,6005.0,C,CME,USD,E3B
6,757528474,ES,FOP,20250218,6010.0,C,CME,USD,E3B
7,757528579,ES,FOP,20250218,6010.0,P,CME,USD,E3B
8,761712147,ES,EC,20250218,6010.0,C,CME,USD,ECES
9,761712150,ES,EC,20250218,6010.0,P,CME,USD,ECES
10,760509122,ES,FOP,20250218,6015.0,P,CME,USD,E3B
11,760509400,ES,FOP,20250218,6015.0,C,CME,USD,E3B
12,757528111,ES,FOP,20250218,6020.0,P,CME,USD,E3B
13,757528181,ES,FOP,20250218,6020.0,C,CME,USD,E3B
14,761712153,ES,EC,20250218,6020.0,C,CME,USD,ECES
15,761712156,ES,EC,20250218,6020.0,P,CME,USD,ECES
16,753981961,ES,FOP,20250218,6025.0,C,CME,USD,E3B
17,753982336,ES,FOP,20250218,6025.0,P,CME,USD,E3B
18,761712160,ES,EC,20250218,6025.0,C,CME,USD,ECES
19,761712165,ES,EC,20250218,6025.0,P,CME,USD,ECES
20,757528152,ES,FOP,20250218,6030.0,P,CME,USD,E3B
21,757528462,ES,FOP,20250218,6030.0,C,CME,USD,E3B
22,761712170,ES,EC,20250218,6030.0,C,CME,USD,ECES
23,761712175,ES,EC,20250218,6030.0,P,CME,USD,ECES
24,760508548,ES,FOP,20250218,6035.0,P,CME,USD,E3B
25,760509080,ES,FOP,20250218,6035.0,C,CME,USD,E3B
26,757528648,ES,FOP,20250218,6040.0,P,CME,USD,E3B
27,757528692,ES,FOP,20250218,6040.0,C,CME,USD,E3B
28,761712177,ES,EC,20250218,6040.0,C,CME,USD,ECES
29,761712180,ES,EC,20250218,6040.0,P,CME,USD,ECES
30,760509099,ES,FOP,20250218,6045.0,C,CME,USD,E3B
31,760509114,ES,FOP,20250218,6045.0,P,CME,USD,E3B
32,753981776,ES,FOP,20250218,6050.0,C,CME,USD,E3B
33,753981955,ES,FOP,20250218,6050.0,P,CME,USD,E3B
34,761712187,ES,EC,20250218,6050.0,C,CME,USD,ECES
35,761712190,ES,EC,20250218,6050.0,P,CME,USD,ECES
36,760508027,ES,FOP,20250218,6055.0,C,CME,USD,E3B
37,760508890,ES,FOP,20250218,6055.0,P,CME,USD,E3B
38,757528517,ES,FOP,20250218,6060.0,P,CME,USD,E3B
39,757528529,ES,FOP,20250218,6060.0,C,CME,USD,E3B
40,761712195,ES,EC,20250218,6060.0,C,CME,USD,ECES
41,761712198,ES,EC,20250218,6060.0,P,CME,USD,ECES
42,760508628,ES,FOP,20250218,6065.0,C,CME,USD,E3B
43,760508748,ES,FOP,20250218,6065.0,P,CME,USD,E3B
44,757528171,ES,FOP,20250218,6070.0,P,CME,USD,E3B
45,757528329,ES,FOP,20250218,6070.0,C,CME,USD,E3B
46,761712201,ES,EC,20250218,6070.0,C,CME,USD,ECES
47,761712204,ES,EC,20250218,6070.0,P,CME,USD,ECES
48,753981821,ES,FOP,20250218,6075.0,P,CME,USD,E3B
49,753982018,ES,FOP,20250218,6075.0,C,CME,USD,E3B
50,761712210,ES,EC,20250218,6075.0,C,CME,USD,ECES
51,761712215,ES,EC,20250218,6075.0,P,CME,USD,ECES
52,757528306,ES,FOP,20250218,6080.0,C,CME,USD,E3B
53,757528546,ES,FOP,20250218,6080.0,P,CME,USD,E3B
54,761712216,ES,EC,20250218,6080.0,C,CME,USD,ECES
55,761712221,ES,EC,20250218,6080.0,P,CME,USD,ECES
56,760508212,ES,FOP,20250218,6085.0,C,CME,USD,E3B
57,760508830,ES,FOP,20250218,6085.0,P,CME,USD,E3B
58,757528243,ES,FOP,20250218,6090.0,P,CME,USD,E3B
59,757528504,ES,FOP,20250218,6090.0,C,CME,USD,E3B
60,761712225,ES,EC,20250218,6090.0,C,CME,USD,ECES
61,761712228,ES,EC,20250218,6090.0,P,CME,USD,ECES
62,760507990,ES,FOP,20250218,6095.0,C,CME,USD,E3B
63,760509043,ES,FOP,20250218,6095.0,P,CME,USD,E3B
64,753982149,ES,FOP,20250218,6100.0,P,CME,USD,E3B
65,753982709,ES,FOP,20250218,6100.0,C,CME,USD,E3B
66,761712235,ES,EC,20250218,6100.0,C,CME,USD,ECES
67,761712238,ES,EC,20250218,6100.0,P,CME,USD,ECES
68,760508700,ES,FOP,20250218,6105.0,P,CME,USD,E3B
69,760509002,ES,FOP,20250218,6105.0,C,CME,USD,E3B
70,757528585,ES,FOP,20250218,6110.0,C,CME,USD,E3B
71,757528672,ES,FOP,20250218,6110.0,P,CME,USD,E3B
72,761712240,ES,EC,20250218,6110.0,C,CME,USD,ECES
73,761712245,ES,EC,20250218,6110.0,P,CME,USD,ECES
74,760508739,ES,FOP,20250218,6115.0,C,CME,USD,E3B
75,760508745,ES,FOP,20250218,6115.0,P,CME,USD,E3B
76,757528140,ES,FOP,20250218,6120.0,P,CME,USD,E3B
77,757528202,ES,FOP,20250218,6120.0,C,CME,USD,E3B
78,761712250,ES,EC,20250218,6120.0,C,CME,USD,ECES
79,761712255,ES,EC,20250218,6120.0,P,CME,USD,ECES
80,753981831,ES,FOP,20250218,6125.0,C,CME,USD,E3B
81,753982498,ES,FOP,20250218,6125.0,P,CME,USD,E3B
82,761712256,ES,EC,20250218,6125.0,C,CME,USD,ECES
83,761712261,ES,EC,20250218,6125.0,P,CME,USD,ECES
84,757528071,ES,FOP,20250218,6130.0,C,CME,USD,E3B
85,757528096,ES,FOP,20250218,6130.0,P,CME,USD,E3B
86,761712266,ES,EC,20250218,6130.0,C,CME,USD,ECES
87,761712271,ES,EC,20250218,6130.0,P,CME,USD,ECES
88,760508487,ES,FOP,20250218,6135.0,P,CME,USD,E3B
89,760509199,ES,FOP,20250218,6135.0,C,CME,USD,E3B
90,757528101,ES,FOP,20250218,6140.0,C,CME,USD,E3B
91,757528270,ES,FOP,20250218,6140.0,P,CME,USD,E3B
92,761712273,ES,EC,20250218,6140.0,C,CME,USD,ECES
93,761712276,ES,EC,20250218,6140.0,P,CME,USD,ECES
94,760508207,ES,FOP,20250218,6145.0,P,CME,USD,E3B
95,760508565,ES,FOP,20250218,6145.0,C,CME,USD,E3B
96,753981981,ES,FOP,20250218,6150.0,C,CME,USD,E3B
97,753982444,ES,FOP,20250218,6150.0,P,CME,USD,E3B
98,761712283,ES,EC,20250218,6150.0,C,CME,USD,ECES
99,761712286,ES,EC,20250218,6150.0,P,CME,USD,ECES
100,760508378,ES,FOP,20250218,6155.0,C,CME,USD,E3B
101,760509211,ES,FOP,20250218,6155.0,P,CME,USD,E3B
102,757528459,ES,FOP,20250218,6160.0,C,CME,USD,E3B
103,757528687,ES,FOP,20250218,6160.0,P,CME,USD,E3B
104,761712290,ES,EC,20250218,6160.0,C,CME,USD,ECES
105,761712295,ES,EC,20250218,6160.0,P,CME,USD,ECES
106,760508659,ES,FOP,20250218,6165.0,P,CME,USD,E3B
107,760508827,ES,FOP,20250218,6165.0,C,CME,USD,E3B
108,757528186,ES,FOP,20250218,6170.0,P,CME,USD,E3B
109,757528403,ES,FOP,20250218,6170.0,C,CME,USD,E3B
110,761712296,ES,EC,20250218,6170.0,C,CME,USD,ECES
111,761712301,ES,EC,20250218,6170.0,P,CME,USD,ECES
112,755249269,ES,FOP,20250218,6175.0,P,CME,USD,E3B
113,755249290,ES,FOP,20250218,6175.0,C,CME,USD,E3B
114,761712307,ES,EC,20250218,6175.0,C,CME,USD,ECES
115,761712310,ES,EC,20250218,6175.0,P,CME,USD,ECES
116,757528126,ES,FOP,20250218,6180.0,C,CME,USD,E3B
117,757528297,ES,FOP,20250218,6180.0,P,CME,USD,E3B
118,761712313,ES,EC,20250218,6180.0,C,CME,USD,ECES
119,761712316,ES,EC,20250218,6180.0,P,CME,USD,ECES
120,760508527,ES,FOP,20250218,6185.0,C,CME,USD,E3B
121,760509405,ES,FOP,20250218,6185.0,P,CME,USD,E3B
122,757528542,ES,FOP,20250218,6190.0,C,CME,USD,E3B
123,757528572,ES,FOP,20250218,6190.0,P,CME,USD,E3B
124,761712321,ES,EC,20250218,6190.0,C,CME,USD,ECES
125,761712324,ES,EC,20250218,6190.0,P,CME,USD,ECES
126,760509142,ES,FOP,20250218,6195.0,P,CME,USD,E3B
127,760509424,ES,FOP,20250218,6195.0,C,CME,USD,E3B
128,753981735,ES,FOP,20250218,6200.0,P,CME,USD,E3B
129,753982101,ES,FOP,20250218,6200.0,C,CME,USD,E3B
130,761712331,ES,EC,20250218,6200.0,C,CME,USD,ECES
131,761712334,ES,EC,20250218,6200.0,P,CME,USD,ECES
132,760509128,ES,FOP,20250218,6205.0,P,CME,USD,E3B
133,760509252,ES,FOP,20250218,6205.0,C,CME,USD,E3B
134,757528192,ES,FOP,20250218,6210.0,P,CME,USD,E3B
135,757528257,ES,FOP,20250218,6210.0,C,CME,USD,E3B
136,761712336,ES,EC,20250218,6210.0,C,CME,USD,ECES
137,761712341,ES,EC,20250218,6210.0,P,CME,USD,ECES
138,760508865,ES,FOP,20250218,6215.0,C,CME,USD,E3B
139,760508895,ES,FOP,20250218,6215.0,P,CME,USD,E3B
140,757528191,ES,FOP,20250218,6220.0,P,CME,USD,E3B
141,757528443,ES,FOP,20250218,6220.0,C,CME,USD,E3B
142,761712346,ES,EC,20250218,6220.0,C,CME,USD,ECES
143,761712351,ES,EC,20250218,6220.0,P,CME,USD,ECES
144,755249228,ES,FOP,20250218,6225.0,P,CME,USD,E3B
145,755249280,ES,FOP,20250218,6225.0,C,CME,USD,E3B
146,761712355,ES,EC,20250218,6225.0,C,CME,USD,ECES
147,761712358,ES,EC,20250218,6225.0,P,CME,USD,ECES
148,757528089,ES,FOP,20250218,6230.0,C,CME,USD,E3B
149,757528174,ES,FOP,20250218,6230.0,P,CME,USD,E3B
150,761712361,ES,EC,20250218,6230.0,C,CME,USD,ECES
151,761712364,ES,EC,20250218,6230.0,P,CME,USD,ECES
152,760508270,ES,FOP,20250218,6235.0,P,CME,USD,E3B
153,760508765,ES,FOP,20250218,6235.0,C,CME,USD,E3B
154,757528157,ES,FOP,20250218,6240.0,P,CME,USD,E3B
155,757528582,ES,FOP,20250218,6240.0,C,CME,USD,E3B
156,761712370,ES,EC,20250218,6240.0,C,CME,USD,ECES
157,761712375,ES,EC,20250218,6240.0,P,CME,USD,ECES
158,760508162,ES,FOP,20250218,6245.0,C,CME,USD,E3B
159,760509320,ES,FOP,20250218,6245.0,P,CME,USD,E3B
160,753982255,ES,FOP,20250218,6250.0,C,CME,USD,E3B
161,753982572,ES,FOP,20250218,6250.0,P,CME,USD,E3B
162,761712376,ES,EC,20250218,6250.0,C,CME,USD,ECES
163,761712381,ES,EC,20250218,6250.0,P,CME,USD,ECES
164,760508076,ES,FOP,20250218,6255.0,C,CME,USD,E3B
165,760508315,ES,FOP,20250218,6255.0,P,CME,USD,E3B
166,757528123,ES,FOP,20250218,6260.0,C,CME,USD,E3B
167,757528323,ES,FOP,20250218,6260.0,P,CME,USD,E3B
