Include symbols,Price,Strike,Exp. date,Days to expiration,Options,Delta,Max Loss,Moneyness,Total Opt. Vol.,Max Profit,IV Rank,Earn. date,Bid Ask Spread (single option),Stock Score (Growth),ATR Lower Breakeven,ATR Upper Breakeven,Profit Ratio,Expected Value,Stock Score (Technical),Stock Score (Fundamental)
LRCX,73.88,67.00/68.00/77.50/78.00,2024-12-06/2024-12-06/2024-12-06/2024-12-06,6.82/6.82/6.82/6.82,+1 LRCX 06-DEC-24 67 PUT/-1 LRCX 06-DEC-24 68 PUT/-1 LRCX 06-DEC-24 77.5 CALL/+1 LRCX 06-DEC-24 78 CALL,-0.041406523,0.53,-0.09312399/-0.079588525/0.048998374/0.055766106,35948.1,0.47,0.31349206,01/22/2025 00:00:00,0.0700/0.2500/0.4200/0.2600,9,2.591837,1.6693878,0.8867925,0.36446163,5,7
FSLR,199.27,182.50/187.50/217.50/225.00,2024-12-06/2024-12-06/2024-12-06/2024-12-06,6.82/6.82/6.82/6.82,+1 FSLR 06-DEC-24 182.5 PUT/-1 FSLR 06-DEC-24 187.5 PUT/-1 FSLR 06-DEC-24 217.5 CALL/+1 FSLR 06-DEC-24 225 CALL,0.022089966,5.985,-0.08415718/-0.059065588/0.09148391/0.12912129,29901.4,1.515,0.41269842,02/25/2025 00:00:00,0.3100/0.3700/0.2100/0.3600,7,1.3324975,1.9804413,0.25313282,0.32038978,7,5
MCD,296.01,287.50/290.00/312.50/315.00,2024-12-06/2024-12-06/2024-12-06/2024-12-06,6.82/6.82/6.82/6.82,+1 MCD 06-DEC-24 287.5 PUT/-1 MCD 06-DEC-24 290 PUT/-1 MCD 06-DEC-24 312.5 CALL/+1 MCD 06-DEC-24 315 CALL,0.047748007,1.92,-0.028749028/-0.020303369/0.055707578/0.06415324,19863.2,0.58,0.2777778,02/03/2025 00:00:00,0.1300/0.3200/0.4300/0.0800,5,1.334008,3.4554656,0.30208334,0.2836469,7,5
AMAT,174.71,165.00/167.50/180.00/182.50,2024-12-06/2024-12-06/2024-12-06/2024-12-06,6.82/6.82/6.82/6.82,+1 AMAT 06-DEC-24 165 PUT/-1 AMAT 06-DEC-24 167.5 PUT/-1 AMAT 06-DEC-24 180 CALL/+1 AMAT 06-DEC-24 182.5 CALL,-0.03789319,1.495,-0.055577815/-0.041268386/0.030278748/0.044588175,53727.2,1.005,0.0734127,02/20/2025 00:00:00,0.2900/0.4500/0.1100/0.3400,8,1.4775181,1.1321943,0.6722408,0.25402266,7,7
PANW,387.82,360.00/365.00/402.50/407.50,2024-12-06/2024-12-06/2024-12-06/2024-12-06,6.82/6.82/6.82/6.82,+1 PANW 06-DEC-24 360 PUT/-1 PANW 06-DEC-24 365 PUT/-1 PANW 06-DEC-24 402.5 CALL/+1 PANW 06-DEC-24 407.5 CALL,-0.049663763,4.145,-0.07173431/-0.05884173/0.03785261/0.050745193,44887.6,0.855,0.003968254,02/18/2025 00:00:00,0.1400/0.2700/0.2300/0.3300,9,2.0676856,1.3567685,0.20627262,0.23825891,9,2
MS,131.61,119.00/120.00/135.00/136.00,2024-12-06/2024-12-06/2024-12-06/2024-12-06,6.82/6.82/6.82/6.82,+1 MS 06-DEC-24 119 PUT/-1 MS 06-DEC-24 120 PUT/-1 MS 06-DEC-24 135 CALL/+1 MS 06-DEC-24 136 CALL,-0.023389583,0.6,-0.095813386/-0.08821518/0.025757922/0.033356126,22277.4,0.4,0.25396827,01/16/2025 00:00:00,0.0300/0.4200/0.3700/0.2400,7,4.1130137,1.2979453,0.6666666,0.23112236,10,6
V,315.08,305.00/307.50/325.00/327.50,2024-12-06/2024-12-06/2024-12-06/2024-12-06,6.82/6.82/6.82/6.82,+1 V 06-DEC-24 305 PUT/-1 V 06-DEC-24 307.5 PUT/-1 V 06-DEC-24 325 CALL/+1 V 06-DEC-24 327.5 CALL,0.029922172,2.03,-0.031991877/-0.024057383/0.031484067/0.03941856,26249.3,0.47,0.007936508,01/23/2025 00:00:00,0.2200/0.2600/0.1500/0.0500,8,1.7538127,2.2636166,0.23152709,0.22807176,9,6
VST,159.84,148.00/152.50/172.50/177.50,2024-12-06/2024-12-06/2024-12-06/2024-12-06,6.82/6.82/6.82/6.82,+1 VST 06-DEC-24 148 PUT/-1 VST 06-DEC-24 152.5 PUT/-1 VST 06-DEC-24 172.5 CALL/+1 VST 06-DEC-24 177.5 CALL,0.044485934,3.35,-0.074074075/-0.04592092/0.0792042/0.11048549,27766.9,1.65,0.5515873,02/26/2025 00:00:00,0.4000/0.3000/0.1500/0.1500,7,1.0274285,1.6354285,0.49253732,0.19795875,10,6
SMCI,32.64,24.00/27.50/42.00/46.00,2024-12-06/2024-12-06/2024-12-06/2024-12-06,6.82/6.82/6.82/6.82,+1 SMCI 06-DEC-24 24 PUT/-1 SMCI 06-DEC-24 27.5 PUT/-1 SMCI 06-DEC-24 42 CALL/+1 SMCI 06-DEC-24 46 CALL,0.04339333,3.33,-0.2647059/-0.15747549/0.2867647/0.40931374,968439.4,0.67,0.9206349,01/27/2025 00:00:00,0.0400/0.0400/0.0400/0.0200,4,1.4381188,2.4826732,0.20120122,0.17228204,10,4
UAL,96.83,93.00/94.00/105.00/107.00,2024-12-06/2024-12-06/2024-12-06/2024-12-06,6.82/6.82/6.82/6.82,+1 UAL 06-DEC-24 93 PUT/-1 UAL 06-DEC-24 94 PUT/-1 UAL 06-DEC-24 105 CALL/+1 UAL 06-DEC-24 107 CALL,-0.009645648,1.445,-0.03955386/-0.02922648/0.08437467/0.105029434,45268,0.555,0.5833333,01/27/2025 00:00:00,0.3000/0.3500/0.3500/0.1500,7,1.0746032,2.7698414,0.38408303,0.1589935,10,7
