Include symbols,Price,Strike,Exp. date,Days to expiration,Options,Bid,RSI,Prob. of Worthless,Moneyness,Total Opt. Vol.,IV Rank,Bid Ask Spread (single option),Return,Stock Score (Growth),Stock Score (Technical),Stock Score (Fundamental),Dividend Yield on Strike,Return (Annualized),covered_call1_return_acquisition_annualized
PFE,26.21,25.50,2024-12-20,20.91,-1 PFE 20-DEC-24 25.5 PUT,0.27000,0.45372045,0.7033841,-0.027088897,268807.3,0.1388889,0.0500,0.010701546,10,5,7,0.066043764,0.18682155,0.32477623
JD,37.38,35.50,2024-12-13,13.91,-1 JD 13-DEC-24 35.5 PUT,0.45000,0.46091872,0.720981,-0.050294276,102668.5,0.34920636,0.2300,0.012838801,9,9,9,0.023675887,0.3369401,0.5543672
NKE,78.77,73.00,2024-12-20,20.91,-1 NKE 20-DEC-24 73 PUT,1.20000,0.59796596,0.7693753,-0.07325124,82627.4,0.95238096,0.1900,0.016713092,8,2,7,0.020175233,0.29176772,0.5357993
MPW,4.39,4.00,2024-12-13,13.91,-1 MPW 13-DEC-24 4 PUT,0.13000,0.34337342,0.7475302,-0.08883827,66832.6,0.2579365,0.0200,0.033591732,7,5,6,0.1149615,0.88157785,0.7897759
WBA,9.02,8.50,2024-12-13,13.91,-1 WBA 13-DEC-24 8.5 PUT,0.11000,0.49262553,0.7306574,-0.05764967,57510.5,0.44444445,0.0100,0.013110845,7,2,8,0.14101623,0.3440796,0.51348203
QCOM,158.53,152.50,2024-12-20,20.91,-1 QCOM 20-DEC-24 152.5 PUT,2.03000,0.34997588,0.7020144,-0.038036965,55488.4,0.35714287,0.4300,0.013491061,7,7,7,0.023690755,0.23551932,0.3428838
ZIM,22.04,19.00,2024-12-06,6.91,-1 ZIM 06-DEC-24 19 PUT,0.49000,0.3773585,0.7834243,-0.13793103,43276.9,0.99206346,0.1800,0.026472177,10,10,10,0.25915158,1.3987185,0.24836786
GAP,24.25,22.50,2024-12-20,20.91,-1 GAP 20-DEC-24 22.5 PUT,0.23000,0.6539379,0.7383636,-0.072164945,34027.6,,0.1800,0.0103277955,6,9,9,0.026588177,0.18029682,0.4866749
M,16.24,15.00,2024-12-13,13.91,-1 M 13-DEC-24 15 PUT,0.29000,0.5618222,0.7702462,-0.07635468,33402.9,0.5714286,0.0900,0.019714478,5,7,9,0.0460712,0.51738465,0.6598562
DVN,37.95,36.50,2024-12-20,20.91,-1 DVN 20-DEC-24 36.5 PUT,0.40000,0.4373299,0.7345078,-0.038208168,23789.1,0.28174603,0.0400,0.011080333,5,5,9,0.043956604,0.1934342,0.3466896
VALE,9.86,9.50,2024-12-20,20.91,-1 VALE 20-DEC-24 9.5 PUT,0.11000,0.24113399,0.70540273,-0.036511157,22489.2,0.26984128,0.0500,0.01171459,6,2,9,0.10368694,0.20450668,0.28461394
BBY,90.00,86.00,2024-12-20,20.91,-1 BBY 20-DEC-24 86 PUT,0.90000,0.51752853,0.72630537,-0.044444446,20664.7,0.6388889,0.3200,0.010575793,7,7,8,0.04377743,0.18462622,0.28509402
EL,72.12,67.50,2024-12-20,20.91,-1 EL 20-DEC-24 67.5 PUT,1.00000,0.7314191,0.71816677,-0.0640599,20108.6,0.6547619,0.1500,0.015037594,5,2,6,0.024434192,0.2625178,0.48913392
SIRI,26.95,25.50,2024-12-20,20.91,-1 SIRI 20-DEC-24 25.5 PUT,0.45000,0.55631876,0.72352,-0.05380334,19739.3,0.01984127,0.0400,0.017964073,6,2,7,0.030273726,0.31360662,0.54599863
DG,77.27,72.00,2024-12-06,6.91,-1 DG 06-DEC-24 72 PUT,2.32000,0.5089586,0.77076346,-0.068202406,19531.2,0.96428573,0.4800,0.03329506,7,2,9,0.033257835,1.7592213,0.9145302
AES,13.04,12.00,2024-12-20,20.91,-1 AES 20-DEC-24 12 PUT,0.20000,0.4181286,0.7380593,-0.0797546,18968.3,0.90873015,0.0500,0.016949153,6,2,6,0.05769725,0.29588875,0.78586525
SLB,43.94,42.50,2024-12-20,20.91,-1 SLB 20-DEC-24 42.5 PUT,0.54000,0.5711608,0.7011107,-0.032771964,18230.7,0.22420634,0.0300,0.0128694,6,5,8,0.025682352,0.22466671,0.32956097
